public_name,parent_name,nested,address_911,acreage,property_classification,ppr_use,park_area,park_length
Webb Street Play Lot,Webb Street Play Lot,N,2538 WEBB ST,0.10208345,PARK,NEIGHBORHOOD_PARK,704.265625,112.767032321898
Hunting Park Recreation Center,Hunting Park,Y,1101 W HUNTING PARK AVE,5.36610847,PARK,RECREATION_SITE,37069.875,823.17236417434
Belmont Plateau,West Fairmount Park,Y,1800 BELMONT MANSION DR,46.97519876,PARK,SPORTS_COMPLEX,324232.37890625,2387.83196858873
Edgley Fields,East Fairmount Park,Y,2100 RESERVOIR DR,28.20644489,PARK,SPORTS_COMPLEX,194696.0625,1744.46342810595
Dairy Fields,East Fairmount Park,Y,3700 MOUNT PLEASANT DR,14.78784358,PARK,SPORTS_COMPLEX,102058.3359375,1283.57871963292
Salvatore Pachella Memorial Field,Wissahickon Valley Park,Y,6901 HENRY AVE,9.49051085,PARK,SPORTS_COMPLEX,65613.5546875,1102.95825210437
Belmont and Edgley Fields,West Fairmount Park,Y,4105 EDGLEY AVE,9.46663162,PARK,SPORTS_COMPLEX,65354.6640625,1334.33980014937
David P Montgomery Field,Wissahickon Valley Park,Y,5366 HERMIT LN,3.27315818,PARK,SPORTS_COMPLEX,22614.171875,737.07198829537
Dell Music Center,East Fairmount Park,Y,3101 STRAWBERRY MANSION DR,8.53095893,OTHER,EVENT_SPACE,58893.69140625,1335.49447976711
Sweetbriar Fields,West Fairmount Park,Y,3700 SWEETBRIAR LN,10.07926987,PARK,SPORTS_COMPLEX,69547.52734375,1055.34577703006
Ohio House Fields,West Fairmount Park,Y,4700 STATES DR,4.86951583,PARK,SPORTS_COMPLEX,33608.70703125,852.406188129494
Chamounix Fields North,West Fairmount Park,Y,3299 CHAMOUNIX DR,4.01151827,PARK,SPORTS_COMPLEX,27698.4375,700.411167966456
Chamounix Fields South,West Fairmount Park,Y,3701 CHAMOUNIX DR,4.41428278,PARK,SPORTS_COMPLEX,30474.4296875,692.434620135295
John F Boyce Memorial Field,Wissahickon Valley Park,Y,5901 HENRY AVE,3.37906449,PARK,SPORTS_COMPLEX,23352.6953125,687.181908868075
Arrow Field,Wissahickon Valley Park,Y,640 W WALNUT LN,3.37049183,PARK,SPORTS_COMPLEX,23291.53515625,688.278886584943
Pennypack Environmental Center,Pennypack Park,Y,8600 VERREE RD,2.34791348,OTHER,ENVIRONMENTAL_EDUCATION_CENTER,16252.83203125,523.604683174155
Cobbs Creek Golf Course,Cobbs Creek Park,Y,7900 LANSDOWNE AVE,323.23522797,MANAGED_SITE,GOLF,2229839.8515625,12669.22783843
Pennypack on the Delaware,Pennypack on the Delaware,N,8201 STATE RD,180.49905658,WATERSHED_PARK,SPORTS_COMPLEX,1247392.32421875,13088.4140637208
Fox Chase Farm,Fox Chase Farm,N,8821 PINE RD,119.97564552,MANAGED_SITE,GARDEN_FARM,830578.34765625,3907.89756130181
